problem,method,rho,dial,dial_name,faces_D,feasibility,objective,solved_frac,status,n_capped,master_time_s,test_time_s,test_time_per_point_s,objective_sense,coherent,matched_bank,seed,cp_alpha,phase,note
gastric,cp,0.5,0.21552774310112,tau,True,0.8911458333333333,11.301505295950882,0.9510354510354511,optimal,0,29.365246772766113,4.63156121969223,0.1277672060604753,max,False,False,42,,dial,
gastric,cp,0.5,0.10776387155056,tau,True,0.881006952866036,11.051039046657825,0.9247981747981748,coverage_cap|optimal,0,10.29277390241623,3.8305736780166626,0.10567099801425277,max,False,False,42,,dial,
gastric,cp,0.5,0.05388193577528,tau,True,0.9265279211099644,10.815810095343325,0.865011115011115,coverage_cap,0,71.76903533935547,6.305762469768524,0.17395206813154548,max,False,False,42,,dial,
gastric,cp,0.5,0.021552774310112002,tau,True,0.972972972972973,10.782399421001399,0.7806394056394056,coverage_cap,0,208.92498129606247,11.116318762302399,0.3066570693048938,max,False,False,42,,dial,
gastric,cp,0.5,0.010776387155056001,tau,True,0.96875,10.683236628318632,0.7357259857259857,coverage_cap,0,361.89898097515106,14.372069835662842,0.3964708920182853,max,False,False,42,,dial,
gastric,cp,0.5,0.0043105548620224,tau,True,0.96875,10.511172399445668,0.6994851994851995,coverage_cap,0,541.3447113633156,16.13327795267105,0.44505594352196004,max,False,False,42,,dial,
gastric,wrapper,0.5,0.0,alpha,True,0.9545454545454546,10.407502382017155,0.5455715455715455,optimal,0,22.862562716007233,49.59575194120407,1.3681586742401124,max,False,False,42,,dial,
gastric,wrapper,0.5,0.1,alpha,True,0.9344607843137255,10.825803400604617,0.6215777465777466,optimal,0,24.12341147661209,57.591519236564636,1.5887315651466107,max,False,False,42,,dial,
gastric,wrapper,0.5,0.2,alpha,True,0.9410714285714286,10.879815703047623,0.6789078039078039,optimal,0,20.32419866323471,57.224668860435486,1.578611554770634,max,False,False,42,,dial,
gastric,wrapper,0.5,0.3,alpha,True,0.8967970822281167,11.004926288573987,0.6916169416169416,optimal,0,13.216793596744537,48.87705421447754,1.3483325300545528,max,False,False,42,,dial,
gastric,wrapper,0.5,0.5,alpha,True,0.8875881015536189,11.015780529661564,0.6991926991926992,optimal,0,9.139769852161407,50.3518471121788,1.3890164720601048,max,False,False,42,,dial,
gastric,cp,1.0,0.3507712185382843,tau,True,0.8635391009852217,10.866127521272544,0.9367029367029367,optimal,0,22.64663028717041,4.525409936904907,0.12483889481116986,max,False,False,42,,dial,
gastric,cp,1.0,0.17538560926914215,tau,True,0.8499791434927698,10.096884193166751,0.9223704223704223,coverage_cap,0,20.040282011032104,6.066702902317047,0.16735732144322887,max,False,False,42,,dial,
gastric,cp,1.0,0.08769280463457108,tau,True,0.9538793103448276,9.771251299335063,0.8558266058266057,coverage_cap,0,147.45786148309708,10.666151523590088,0.29423866271972654,max,False,False,42,,dial,
gastric,cp,1.0,0.035077121853828434,tau,True,0.9547473560517039,9.568694471616634,0.7798204048204048,coverage_cap,0,405.40404361486435,18.74639582633972,0.5171419538300613,max,False,False,42,,dial,
gastric,cp,1.0,0.017538560926914217,tau,True,0.9632675438596492,9.47818540163215,0.7714402714402714,coverage_cap,0,713.6550775170326,25.71882140636444,0.7094847284514328,max,False,False,42,,dial,
gastric,cp,1.0,0.0070154243707656865,tau,True,0.9765625,9.458386325275534,0.6616064116064116,coverage_cap,0,990.3991688489914,30.08908748626709,0.8300437927246094,max,False,False,42,,dial,
gastric,wrapper,1.0,0.0,alpha,True,1.0,9.551926167441373,0.26292851292851294,optimal,0,22.33545058965683,37.97674864530563,1.0476344453877415,max,False,False,42,,dial,
